ident,type,name,latitude2,longitude2,iso_country,region_name,local_region,municipality,local_code
NY22,heliport,NYPD Air Operations (Floyd Bennett Field) Heliport,40.5905,-73.8805,US,New York,NY,New York,NY22
DE26,heliport,Christina Hospital Heliport,39.68759918,-75.66719818,US,Delaware,DE,Newark,DE26
01NJ,heliport,Albert Guido Memorial Heliport,40.7417984,-74.13710022,US,New Jersey,NJ,Newark,01NJ
0NJ7,heliport,Essex Generating Station Heliport,40.737818,-74.118655,US,New Jersey,NJ,Newark,0NJ7
0NJ8,heliport,Port Newark Helistop,40.70230103,-74.15070343,US,New Jersey,NJ,Newark,0NJ8
1JY1,heliport,Newark/Jersey Street Heliport,40.733508,-74.159124,US,New Jersey,NJ,Newark,1JY1
1JY3,heliport,Mbna Heliport,40.7364006,-74.17720032,US,New Jersey,NJ,Newark,1JY3
NJ35,heliport,Chem-Fleur Helistop,40.70199966,-74.13240051,US,New Jersey,NJ,Newark,NJ35
NJ87,heliport,University Hospital Rooftop Heliport,40.7408471,-74.1908417,US,New Jersey,NJ,Newark,NJ87
NJ92,heliport,St Benedict's Heliport,40.73590088,-74.17710114,US,New Jersey,NJ,Newark,NJ92
42OI,heliport,Stoney Creek Farm Heliport,40.09949875,-82.4654007,US,Ohio,OH,Newark,42OI
74OI,heliport,Licking Memorial Hospital Heliport,40.06090164,-82.44319916,US,Ohio,OH,Newark,74OI
1OR1,heliport,Chehalem Mountain Heliport,45.35540009,-122.9459991,US,Oregon,OR,Newberg,1OR1
OG55,heliport,Providence Newberg Medical Center Heliport,45.30820084,-122.9369965,US,Oregon,OR,Newberg,OG55
6OH8,heliport,Rmz Heliport,41.50170135,-81.25930023,US,Ohio,OH,Newberry,6OH8
SC73,heliport,Newberry County Memorial Hospital Heliport,34.29090118,-81.60669708,US,South Carolina,SC,Newberry,SC73
IN59,seaplane_base,Jerry W. Humphrey Seaplane Base,37.94499969,-87.42449951,US,Indiana,IN,Newburgh,IN59
96CL,heliport,Ranch Heliport,34.157704,-118.917802,US,California,CA,Newbury Park,96CL
MA98,heliport,Anna Jaques Hospital Heliport,42.8144989,-70.89089966,US,Massachusetts,MA,Newburyport,MA98
1NJ6,heliport,Idylease Helistop,41.054483,-74.431959,US,New Jersey,NJ,Newfoundland,1NJ6
WA34,heliport,Newhalem Office Heliport,48.671895,-121.252213,US,Washington,WA,Newhalem,WA34
27CN,heliport,Sce Pardee Substation Helistop,34.43859863,-118.5790024,US,California,CA,Newhall,27CN
80L,heliport,Los Angeles County Fire Station Nr 123 Heliport,34.38169861,-118.4150009,US,California,CA,Newhall,80L
CT22,heliport,H O Penn-1 Heliport,41.66070175,-72.72840118,US,Connecticut,CT,Newington,CT22
0WA7,heliport,Shamrock Port Heliport,47.77690125,-117.0839996,US,Washington,WA,Newman Lake,0WA7
21GA,heliport,Piedmont Hospital-Newnan Heliport,33.39260101,-84.81719971,US,Georgia,GA,Newnan,21GA
AR92,heliport,Unity Health Harris Medical Center Heliport,35.609774,-91.264466,US,Arkansas,AR,Newport,AR92
27OR,heliport,Time Flies Private Heliport,44.653123,-124.058249,US,Oregon,OR,Newport,
8OR9,heliport,Samaritan Pacific Communities Hospital Heliport,44.627876,-124.059329,US,Oregon,OR,Newport,8OR9
2RI7,heliport,Malbone Estate Heliport,41.504909,-71.310511,US,Rhode Island,RI,Newport,2RI7
75RI,heliport,"Hopedene, LLC Heliport",41.480371,-71.297117,US,Rhode Island,RI,Newport,75RI
RI21,heliport,Goat Island Heliport,41.48820114,-71.32790375,US,Rhode Island,RI,Newport,RI21
RI24,heliport,Duke Heliport,41.45589828,-71.30509949,US,Rhode Island,RI,Newport,RI24
7TN8,heliport,Van Stratum Heliport,35.97750092,-83.22640228,US,Tennessee,TN,Newport,7TN8
7TN9,heliport,Jacques Heliport,35.95780182,-83.2960968,US,Tennessee,TN,Newport,7TN9
VT19,heliport,Newport Armory Heliport,44.94950104,-72.19950104,US,Vermont,VT,Newport,VT19
VT70,heliport,North Country Hospital Heliport,44.95640182,-72.19950104,US,Vermont,VT,Newport,VT70
WN32,heliport,Newport Community Hospital Heliport,48.18190002,-117.0490036,US,Washington,WA,Newport,WN32
14CA,heliport,Hoag Memorial Hospital Heliport,33.625182,-117.930799,US,California,CA,Newport Beach,14CA
3CA1,heliport,Newport Beach Police Heliport,33.62639999,-117.8769989,US,California,CA,Newport Beach,3CA1
54VA,heliport,Riverside Hospital Heliport,37.06539917,-76.4838028,US,Virginia,VA,Newport News,54VA
86VA,heliport,Newport News General Hospital Heliport,36.99990082,-76.42469788,US,Virginia,VA,Newport News,86VA
8VA8,heliport,Mary Immaculate Hospital Heliport,37.14319992,-76.5121994,US,Virginia,VA,Newport News,8VA8
VG04,heliport,Yorktown Power Station Heliport,37.2140007,-76.45359802,US,Virginia,VA,Newport News,VG04
WWT,seaplane_base,Newtok Seaplane Base,60.935,-164.6267,US,Alaska,AK,Newtok,WWT
5IA0,heliport,Skiff Medical Center Heliport,41.70420074,-93.0515976,US,Iowa,IA,Newton,5IA0
6LL7,heliport,Jasper County Safety Council Heliport,38.98949814,-88.17639923,US,Illinois,IL,Newton,6LL7
7NJ3,heliport,Newton Memorial Hospital Heliport,41.05720139,-74.76999664,US,New Jersey,NJ,Newton,7NJ3
