ident,type,name,latitude2,longitude2,iso_country,region_name,local_region,municipality,local_code,class
KLEB,medium_airport,Lebanon Municipal Airport,43.62609863,-72.30419922,US,New Hampshire,NH,Lebanon,LEB,Civillian
KROW,medium_airport,Roswell Air Center Airport,33.301601,-104.530998,US,New Mexico,NM,Roswell,ROW,Civillian
KSUX,medium_airport,Sioux Gateway Airport / Brigadier General Bud Day Field,42.397605,-96.382237,US,Iowa,IA,Sioux City,SUX,Civillian
KSPI,medium_airport,Abraham Lincoln Capital Airport,39.844101,-89.677902,US,Illinois,IL,Springfield,SPI,Civillian
KAGC,medium_airport,Allegheny County Airport,40.354401,-79.930199,US,Pennsylvania,PA,Pittsburgh,AGC,Civillian
KBHB,medium_airport,Hancock County-Bar Harbor Airport,44.45000076,-68.3615036,US,Maine,ME,Bar Harbor,BHB,Civillian
KPVU,medium_airport,Provo-Utah Lake International Airport,40.2192,-111.723,US,Utah,UT,Provo,PVU,Civillian
KMCC,medium_airport,Mc Clellan Airfield,38.66759872,-121.401001,US,California,CA,Sacramento,MCC,Civillian
K61B,medium_airport,Boulder City-Lake Mead International Airport,35.947498,-114.861,US,Nevada,NV,Boulder City,BVU,Civillian
KOWD,medium_airport,Norwood Memorial Airport,42.19049835,-71.17289734,US,Massachusetts,MA,Norwood,OWD,Civillian
KWWD,medium_airport,Cape May County Airport,39.00849915,-74.90830231,US,New Jersey,NJ,Wildwood,WWD,Civillian
KCNM,medium_airport,Cavern City Air Terminal,32.33750153,-104.2630005,US,New Mexico,NM,Carlsbad,CNM,Civillian
KEKO,medium_airport,Elko Regional Airport,40.82490158,-115.7919998,US,Nevada,NV,Elko,EKO,Civillian
KGGG,medium_airport,East Texas Regional Airport,32.38399887,-94.71150208,US,Texas,TX,Longview,GGG,Civillian
KLBF,medium_airport,North Platte Regional Airport Lee Bird Field,41.12620163,-100.6839981,US,Nebraska,NE,North Platte,LBF,Civillian
KMBS,medium_airport,MBS International Airport,43.532902,-84.079597,US,Michigan,MI,Saginaw,MBS,Civillian
KSTP,medium_airport,St Paul Downtown Holman Field,44.93450165,-93.05999756,US,Minnesota,MN,St Paul,STP,Civillian
KUKI,medium_airport,Ukiah Municipal Airport,39.12599945,-123.2009964,US,California,CA,Ukiah,UKI,Civillian
KLOU,medium_airport,Bowman Field,38.22800064,-85.66369629,US,Kentucky,KY,Louisville,LOU,Civillian
KCRE,medium_airport,Grand Strand Airport,33.81169891,-78.72389984,US,South Carolina,SC,North Myrtle Beach,CRE,Civillian
KVIS,medium_airport,Visalia International Airport,36.318699,-119.392998,US,California,CA,Visalia,VIS,Civillian
KACV,medium_airport,California Redwood Coast-Humboldt County Airport,40.978101,-124.109,US,California,CA,Arcata/Eureka,ACV,Civillian
KLCK,medium_airport,Rickenbacker International Airport,39.813801,-82.927803,US,Ohio,OH,Columbus,LCK,Civillian
KDBQ,medium_airport,Dubuque Regional Airport,42.402,-90.709503,US,Iowa,IA,Dubuque,DBQ,Civillian
KLFT,medium_airport,Lafayette Regional Airport,30.205299,-91.987602,US,Louisiana,LA,Lafayette,LFT,Civillian
KMHK,medium_airport,Manhattan Regional Airport,39.14099884,-96.67079926,US,Kansas,KS,Manhattan,MHK,Civillian
KBRD,medium_airport,Brainerd Lakes Regional Airport,46.402861,-94.129727,US,Minnesota,MN,Brainerd,BRD,Civillian
KOLM,medium_airport,Olympia Regional Airport,46.9693985,-122.9029999,US,Washington,WA,Olympia,OLM,Civillian
KCXO,medium_airport,Conroe-North Houston Regional Airport,30.351801,-95.414497,US,Texas,TX,Houston,CXO,Civillian
KLWM,medium_airport,Lawrence Municipal Airport,42.71720123,-71.12339783,US,Massachusetts,MA,Lawrence,LWM,Civillian
KDAG,medium_airport,Barstow Daggett Airport,34.85369873,-116.7870026,US,California,CA,Daggett,DAG,Civillian
KGMU,medium_airport,Greenville Downtown Airport,34.84790039,-82.34999847,US,South Carolina,SC,Greenville,GMU,Civillian
KSSF,medium_airport,Stinson Municipal Airport,29.33699989,-98.47109985,US,Texas,TX,San Antonio,SSF,Civillian
KHYI,medium_airport,San Marcos Regional Airport,29.8927,-97.862999,US,Texas,TX,San Marcos,HYI,Civillian
KAEX,medium_airport,Alexandria International Airport,31.3274,-92.549797,US,Louisiana,LA,Alexandria,AEX,Civillian
KGCK,medium_airport,Garden City Regional Airport,37.92750168,-100.723999,US,Kansas,KS,Garden City,GCK,Civillian
KLBE,medium_airport,Arnold Palmer Regional Airport,40.275902,-79.4048,US,Pennsylvania,PA,Latrobe,LBE,Civillian
KILG,medium_airport,New Castle Airport,39.67869949,-75.60649872,US,Delaware,DE,Wilmington,ILG,Civillian
KSAW,medium_airport,Sawyer International Airport,46.3536,-87.395401,US,Michigan,MI,Gwinn,SAW,Civillian
KECP,medium_airport,Northwest Florida Beaches International Airport,30.357106,-85.795414,US,Florida,FL,Panama City Beach,ECP,Civillian
KSTJ,medium_airport,Rosecrans Memorial Airport,39.77190018,-94.90969849,US,Missouri,MO,St Joseph,STJ,Civillian
KPWT,medium_airport,Bremerton National Airport,47.49020004,-122.7649994,US,Washington,WA,Bremerton,PWT,Civillian
KCON,medium_airport,Concord Municipal Airport,43.20270157,-71.50229645,US,New Hampshire,NH,Concord,CON,Civillian
KENV,medium_airport,Wendover Airport,40.71870041,-114.0309982,US,Utah,UT,Wendover,ENV,Civillian
KGRI,medium_airport,Central Nebraska Regional Airport,40.96749878,-98.30960083,US,Nebraska,NE,Grand Island,GRI,Civillian
KLMT,medium_airport,Crater Lake-Klamath Regional Airport,42.156101,-121.733002,US,Oregon,OR,Klamath Falls,LMT,Civillian
KLYH,medium_airport,Lynchburg Regional Preston Glenn Field,37.3266983,-79.20040131,US,Virginia,VA,Lynchburg,LYH,Civillian
KMEI,medium_airport,Key Field / Meridian Regional Airport,32.3326,-88.7519,US,Mississippi,MS,Meridian,MEI,Civillian
KRDG,medium_airport,Reading Regional Airport (Carl A Spaatz Field),40.378502,-75.965202,US,Pennsylvania,PA,Reading,RDG,Civillian
KSBY,medium_airport,Salisbury Ocean City Wicomico Regional Airport,38.34049988,-75.51029968,US,Maryland,MD,Salisbury,SBY,Civillian
KYNG,medium_airport,Youngstown Warren Regional Airport,41.26070023,-80.67910004,US,Ohio,OH,Youngstown/Warren,YNG,Civillian
KTCL,medium_airport,Tuscaloosa Regional Airport,33.22060013,-87.61139679,US,Alabama,AL,Tuscaloosa,TCL,Civillian
KBWG,medium_airport,Bowling Green Warren County Regional Airport,36.96450043,-86.41970062,US,Kentucky,KY,Bowling Green,BWG,Civillian
KHUT,medium_airport,Hutchinson Municipal Airport,38.06549835,-97.86060333,US,Kansas,KS,Hutchinson,HUT,Civillian
KUAO,medium_airport,Aurora State Airport,45.24710083,-122.7699966,US,Oregon,OR,Aurora,UAO,Civillian
KCOE,medium_airport,Coeur D'Alene - Pappy Boyington Field,47.77429962,-116.8199997,US,Idaho,ID,Coeur d'Alene,COE,Civillian
KEFD,medium_airport,Ellington Airport,29.6072998,-95.15879822,US,Texas,TX,Houston,EFD,Civillian
KSBD,medium_airport,San Bernardino International Airport,34.095402,-117.235001,US,California,CA,San Bernardino,SBD,Civillian
KEWB,medium_airport,New Bedford Regional Airport,41.67610168,-70.95690155,US,Massachusetts,MA,New Bedford,EWB,Civillian
KPIH,medium_airport,Pocatello Regional Airport,42.90980148,-112.5960007,US,Idaho,ID,Pocatello,PIH,Civillian
KRDM,medium_airport,Roberts Field,44.2541008,-121.1500015,US,Oregon,OR,Redmond,RDM,Civillian
KPUW,medium_airport,Pullman Moscow Regional Airport,46.7439,-117.110001,US,Washington,WA,Pullman/Moscow,PUW,Civillian
KSHD,medium_airport,Shenandoah Valley Regional Airport,38.263802,-78.8964,US,Virginia,VA,Weyers Cave,SHD,Civillian
KTIW,medium_airport,Tacoma Narrows Airport,47.26789856,-122.5780029,US,Washington,WA,Tacoma,TIW,Civillian
KWYS,medium_airport,Yellowstone Airport,44.68840027,-111.1179962,US,Montana,MT,West Yellowstone,WYS,Civillian
KAST,medium_airport,Astoria Regional Airport,46.15800095,-123.8789978,US,Oregon,OR,Astoria,AST,Civillian
KMCE,medium_airport,Merced Regional Macready Field,37.28469849,-120.5139999,US,California,CA,Merced,MCE,Civillian
KBPT,medium_airport,Jack Brooks Regional Airport,29.9508,-94.020699,US,Texas,TX,Beaumont/Port Arthur,BPT,Civillian
KPIR,medium_airport,Pierre Regional Airport,44.38270187,-100.2860031,US,South Dakota,SD,Pierre,PIR,Civillian
KJQF,medium_airport,Concord-Padgett Regional Airport,35.387798,-80.709099,US,North Carolina,NC,Concord,JQF,Civillian
KSWO,medium_airport,Stillwater Regional Airport,36.16120148,-97.08570099,US,Oklahoma,OK,Stillwater,SWO,Civillian
KBVY,medium_airport,Beverly Regional Airport,42.584202,-70.916496,US,Massachusetts,MA,Beverly / Danvers,BVY,Civillian
KLEE,medium_airport,Leesburg International Airport,28.82309914,-81.80870056,US,Florida,FL,Leesburg,LEE,Civillian
KINW,medium_airport,Winslow Lindbergh Regional Airport,35.02190018,-110.7229996,US,Arizona,AZ,Winslow,INW,Civillian
KBQK,medium_airport,Brunswick Golden Isles Airport,31.25880051,-81.46649933,US,Georgia,GA,Brunswick,BQK,Civillian
KDHN,medium_airport,Dothan Regional Airport,31.32130051,-85.44960022,US,Alabama,AL,Dothan,DHN,Civillian
KOTH,medium_airport,Southwest Oregon Regional Airport,43.417099,-124.2460022,US,Oregon,OR,North Bend,OTH,Civillian
KPAH,medium_airport,Barkley Regional Airport,37.06079865,-88.77380371,US,Kentucky,KY,Paducah,PAH,Civillian
KRUT,medium_airport,Rutland - Southern Vermont Regional Airport,43.5294,-72.9496,US,Vermont,VT,Rutland,RUT,Civillian
KALO,medium_airport,Waterloo Regional Airport,42.55709839,-92.40029907,US,Iowa,IA,Waterloo,ALO,Civillian
KGYY,medium_airport,Gary Chicago International Airport,41.61629868,-87.41280365,US,Indiana,IN,Gary,GYY,Civillian
KINT,medium_airport,Smith Reynolds Airport,36.13370132,-80.22200012,US,North Carolina,NC,Winston Salem,INT,Civillian
KMIE,medium_airport,Delaware County Johnson Field,40.24229813,-85.39589691,US,Indiana,IN,Muncie,MIE,Civillian
KL45,medium_airport,Bakersfield International Airport,35.324799,-118.996002,US,California,CA,Bakersfield,L45,Civillian
KFDY,medium_airport,Findlay Airport,41.01350021,-83.66870117,US,Ohio,OH,Findlay,FDY,Civillian
KEED,medium_airport,Needles Airport,34.7663002,-114.6230011,US,California,CA,Needles,EED,Civillian
PAKT,medium_airport,Ketchikan International Airport,55.35559845,-131.7140045,US,Alaska,AK,Ketchikan,KTN,Civillian
KPLN,medium_airport,Pellston Regional Airport of Emmet County Airport,45.57089996,-84.79669952,US,Michigan,MI,Pellston,PLN,Civillian
KRKS,medium_airport,Southwest Wyoming Regional Airport,41.5942,-109.065001,US,Wyoming,WY,Rock Springs,RKS,Civillian
KTWF,medium_airport,Joslin Field Magic Valley Regional Airport,42.4818,-114.487999,US,Idaho,ID,Twin Falls,TWF,Civillian
KFOE,medium_airport,Topeka Regional Airport,38.950901,-95.663597,US,Kansas,KS,Topeka,FOE,Civillian
KBCE,medium_airport,Bryce Canyon Airport,37.70640183,-112.1449966,US,Utah,UT,Bryce Canyon,BCE,Civillian
KFMN,medium_airport,Four Corners Regional Airport,36.741199,-108.230003,US,New Mexico,NM,Farmington,FMN,Civillian
KIKK,medium_airport,Greater Kankakee Airport,41.07139969,-87.84629822,US,Illinois,IL,Kankakee,IKK,Civillian
KENW,medium_airport,Kenosha Regional Airport,42.59569931,-87.92780304,US,Wisconsin,WI,Kenosha,ENW,Civillian
KMTJ,medium_airport,Montrose Regional Airport,38.50979996,-107.8939972,US,Colorado,CO,Montrose,MTJ,Civillian
KCWA,medium_airport,Central Wisconsin Airport,44.77759933,-89.66680145,US,Wisconsin,WI,Mosinee,CWA,Civillian
KFLO,medium_airport,Florence Regional Airport,34.1853981,-79.72389984,US,South Carolina,SC,Florence,FLO,Civillian
KCLM,medium_airport,William R Fairchild International Airport,48.12020111,-123.5,US,Washington,WA,Port Angeles,CLM,Civillian
KLWS,medium_airport,Lewiston Nez Perce County Airport,46.37450027,-117.0149994,US,Idaho,ID,Lewiston,LWS,Civillian
KHKY,medium_airport,Hickory Regional Airport,35.74110031,-81.38950348,US,North Carolina,NC,Hickory,HKY,Civillian
